X,Y
1276.5013,715.52155
1669.3479,955.37164
1622.3662,769.48785
1323.483,731.51154
1304.4905,732.5109
1260.5076,719.51904
1327.4814,718.5197
1037.5947,679.54407
1555.3925,701.5303
1230.5193,782.47974
1555.3925,724.5159
1577.3838,802.4672
1428.442,775.4841
1405.451,725.5153
1049.59,709.5253
1578.3834,660.5559
1560.3905,745.5028
1408.4498,813.4603
1504.4124,727.51404
1490.4178,725.5153
1571.3862,781.48035
1079.5782,791.47406
1254.51,818.4572
1475.4237,851.4366
1203.5299,741.5053
1035.5955,675.5466
1301.4916,717.5203
986.6146,742.5047
1463.4283,799.4691
1488.4186,812.461
1588.3795,748.501
1517.4072,779.48157
1001.60876,957.3704
1494.4163,685.5403
1287.4971,733.5103
1260.5076,739.5066
1275.5017,729.5128
1638.36,498.6571
1271.5033,736.5084
1315.4861,687.53906
1706.3335,703.52905
1273.5026,721.5178
1280.4998,723.51654
1561.3901,557.62024
1283.4987,715.52155
1294.4944,717.5203
1543.3971,561.61774
1613.3698,742.5047
1303.4908,753.4978
1290.4958,688.53845
1468.4264,776.48346
1578.3834,869.42535
1657.3527,653.5603
1512.4092,872.4235
933.6353,332.76077
1250.5115,726.5147
1653.3541,643.5665
1223.5221,671.549
1614.3694,1132.2611
1279.5002,596.5959
1017.6025,682.5422
1625.3651,433.6977
1233.5182,697.5328
1002.60834,1058.3074
1415.4471,703.52905
1599.3752,550.62463
1272.5029,728.5134
1492.417,718.5197
1708.3326,693.5353
1289.4963,619.58154
867.6611,379.7314
1577.3838,1090.2874
1595.3768,1118.2699
1280.4998,752.4985
1631.3628,496.65833
876.65753,719.51904
1606.3726,700.53094
1470.4257,681.5428
1600.3749,385.72766
1286.4974,751.4991
884.6544,658.5572
953.6275,1092.2861
891.6517,866.42725
972.62006,796.47095
1765.3104,694.53467
1448.4342,697.5328
1012.60443,698.53217
1696.3374,911.3991
961.6244,322.76703
1011.60486,728.5134
970.62085,658.5572
1745.3182,702.52966
1614.3694,720.51843
991.6127,696.53345
862.663,483.66644
1002.60834,524.64087
1028.5983,766.4897
962.62396,308.77576
1003.608,858.43225
1266.5052,733.5103
1730.3241,886.41473
1610.371,713.5228
866.66144,751.4991
1059.586,882.41724
1375.4628,746.5022
1502.4131,685.5403
884.6544,657.5578
1274.5022,843.4416
1456.431,705.52783
1001.60876,579.6065
1285.4978,718.5197
933.6353,722.5172
1014.6037,901.4054
1557.3916,771.4866
1611.3706,634.57214
1623.3658,734.5097
974.61926,707.52655
1293.4948,718.5197
979.6173,1094.2848
960.62476,1053.3104
1277.501,732.5109
942.6318,1105.278
1633.3619,757.4953
978.61774,779.48157
1092.5732,825.4529
1640.3593,380.7308
1589.3792,803.4666
1606.3726,663.554
1376.4623,740.5059
1659.3518,849.43787
1628.3639,815.4591
1272.5029,727.51404
1256.5092,709.5253
1475.4237,878.41974
1179.5392,953.3729
983.6158,754.4972
1456.431,765.49036
1320.4841,686.5397
1537.3994,673.5478
1576.3843,881.41785
1314.4866,747.5016
1552.3936,769.48785
830.67554,763.4916
987.6142,857.43286
1597.376,840.4435
920.6404,775.4841
1375.4628,777.48285
1288.4967,717.5203
1433.4401,675.5466
1092.5732,747.5016
1558.3912,913.3979
908.6451,928.38855
1260.5076,730.5122
1580.3827,704.52844
1605.3729,809.4628
1242.5146,713.5228
1338.4772,726.5147
1540.3983,837.4454
1625.3651,734.5097
1631.3628,900.406
899.64856,823.4541
1031.597,668.5509
1504.4124,766.4897
1576.3843,851.4366
1222.5225,724.5159
1625.3651,687.53906
1104.5685,829.4504
1288.4967,634.57214
1512.4092,748.501
1512.4092,688.53845
1626.3647,903.4041
1673.3463,735.5091
1484.4202,862.42975
1260.5076,742.5047
1579.383,906.4023
1283.4987,739.5066
1505.412,697.5328
1544.3967,930.38727
1295.4939,703.52905
1575.3846,883.4166
994.6115,661.5553
1165.5447,687.53906
1520.4061,771.4866
1136.556,732.5109
1017.6025,698.53217
1588.3795,840.4435
973.6197,312.7733
1458.4303,780.48096
1104.5685,741.5053
1263.5065,608.5884
1588.3795,717.5203
976.6185,762.4922
1683.3424,722.5172
1522.4053,680.5434
1417.4463,667.5515
1577.3838,754.4972
1016.6029,743.5041
1592.3779,854.43475
1265.5056,714.52216
1526.4038,747.5016
969.6212,376.7333
1254.51,694.53467
1558.3912,813.4603
1479.4221,765.49036
1502.4131,801.46783
1502.4131,515.6465
1264.5061,689.5378
1045.5916,711.52405
1329.4807,758.4947
1615.369,863.42914
1477.4229,719.51904
1618.3678,407.71393
920.6404,694.53467
1546.396,795.4716
1316.4857,731.51154
1443.4362,668.5509
1383.4596,597.5953
1645.3573,838.44476
1607.3721,727.51404
867.6611,717.5203
