X,Y
830.67554,375.73392
1826.2866,1174.2349
1297.4932,878.41974
781.69464,257.80762
1286.4974,723.51654
1793.2994,1137.2579
1359.469,857.43286
1622.3662,1252.1862
1315.4861,782.47974
1640.3593,1164.2411
1410.4491,724.5159
826.67706,385.72766
1349.4729,829.4504
804.68567,378.73206
1828.2859,1154.2473
1817.2902,994.3473
1500.414,1030.3248
1374.4631,788.47595
1316.4857,591.599
1280.4998,726.5147
1459.4299,813.4603
1228.5201,783.47906
1319.4846,770.4872
1201.5306,635.57153
749.70715,487.66394
786.6927,376.7333
1669.3479,1087.2892
863.66266,390.72455
1878.2664,923.39166
1488.4186,1019.33167
1357.4697,770.4872
1435.4393,880.4185
1059.586,954.37225
1322.4834,770.4872
1243.5143,694.53467
1707.3331,1114.2723
561.7806,299.7814
772.6982,232.82324
1291.4955,701.5303
1258.5084,711.52405
1270.5037,734.5097
1649.3557,1090.2874
1285.4978,691.53656
1295.4939,733.5103
874.6583,647.564
858.6646,240.81824
949.629,197.8451
896.6497,301.78015
719.7189,602.59216
1244.5139,697.5328
1098.5709,766.4897
1373.4635,841.4429
1274.5022,887.4141
1408.4498,910.3998
1547.3955,1018.3323
1272.5029,745.5028
1717.3292,1173.2355
1327.4814,682.5422
1741.3198,1130.2623
983.6158,1034.3223
1507.4111,996.34607
1488.4186,937.3829
1552.3936,970.3623
1800.2968,1036.321
1439.4377,879.4191
1642.3584,1218.2074
1622.3662,1070.2998
795.6892,319.7689
1539.3987,850.43726
1752.3156,1188.2261
1209.5276,742.5047
1038.5944,469.67523
1491.4174,923.39166
1298.4928,719.51904
1577.3838,932.38605
1731.3237,1091.2867
1608.3717,1208.2136
1722.3273,1116.2711
969.6212,174.85947
937.6337,248.81323
1761.312,1139.2567
1845.2792,1195.2218
1398.4537,750.4997
761.70245,480.66833
1689.3401,1114.2723
1785.3026,917.3954
1686.3413,1097.283
1542.3975,920.3935
849.6681,43.941284
814.68176,297.78265
1805.2948,1064.3036
1438.4381,554.62213
1823.2878,1047.3142
1594.3772,423.70395
895.65015,637.57025
1560.3905,919.39417
1294.4944,717.5203
752.706,237.82013
1257.5088,710.52466
981.6166,367.73892
1872.2687,1047.3142
896.6497,176.85822
881.6556,345.75266
1502.4131,528.63837
1189.5354,543.62897
1210.5271,791.47406
1232.5186,754.4972
1662.3507,1131.2617
1059.586,533.63525
1265.5056,733.5103
1628.3639,1060.306
1703.3346,1076.296
1599.3752,1254.1849
1308.4889,734.5097
1295.4939,448.68832
1255.5095,1025.3279
1698.3365,1084.2911
1720.328,1072.2986
858.6646,364.74078
858.6646,388.7258
1498.4147,532.63586
1509.4104,474.67206
1005.6072,499.6565
1340.4764,852.436
1795.2987,948.37604
768.6997,452.68582
918.6412,343.7539
1291.4955,654.55963
1751.3159,1148.2511
1318.485,682.5422
1812.2921,1125.2655
1773.3073,916.396
1645.3573,1188.2261
1214.5256,763.4916
1788.3014,1076.296
1441.4369,778.48224
785.6931,316.77078
1547.3955,827.4516
1246.5131,711.52405
1716.3296,1085.2904
1546.396,849.43787
1300.492,721.5178
978.61774,228.82574
1394.4553,672.5484
1192.5342,795.4716
1321.4838,688.53845
1677.3448,1076.296
1270.5037,704.52844
715.7204,362.74203
1267.5049,733.5103
1289.4963,826.4522
1795.2987,1100.2811
1244.5139,750.4997
1246.5131,697.5328
832.67474,255.80887
1776.3062,981.35547
782.6943,416.7083
1376.4623,775.4841
1590.3788,1222.2048
1845.2792,1026.3273
1907.255,1122.2673
1777.3058,1194.2224
1201.5306,606.58966
1788.3014,986.3523
1759.3127,1053.3104
1191.5345,771.4866
1595.3768,754.4972
