X,Y
1594.3772,451.68646
1613.3698,949.3754
1495.4159,815.4591
1499.4143,757.4953
1596.3765,575.609
1021.60095,963.36664
1602.374,937.3829
1476.4232,773.48535
1490.4178,785.47784
1601.3745,420.7058
1575.3846,829.4504
1393.4557,826.4522
1441.4369,857.43286
1921.2495,1071.2992
1474.4241,969.3629
1539.3987,736.5084
1740.3202,898.4073
1509.4104,825.4529
1776.3062,1112.2736
1444.4358,826.4522
1461.4291,807.4641
1488.4186,717.5203
1502.4131,774.4847
1448.4342,828.451
1577.3838,953.3729
1484.4202,773.48535
1484.4202,825.4529
1476.4232,795.4716
1524.4045,820.456
1551.394,884.416
1511.4097,834.4472
1713.3307,929.3879
1634.3616,850.43726
1621.3667,845.44037
1553.3932,516.6459
1428.442,825.4529
1452.4326,859.43164
1041.5931,1020.33105
1105.5681,778.48224
1602.374,713.5228
1441.4369,826.4522
1317.4854,827.4516
1457.4307,844.441
1712.3312,963.36664
1432.4404,829.4504
1591.3784,456.68332
1878.2664,1073.298
1813.2917,1009.3379
1089.5743,952.37354
1482.4209,773.48535
1352.4717,811.4616
1561.3901,864.42847
1244.5139,869.42535
1446.4349,844.441
1775.3065,1066.3024
1405.451,857.43286
1645.3573,649.5628
1456.431,856.4335
741.71027,1078.2948
1385.4589,833.4479
1496.4155,824.4535
1652.3545,431.69894
1527.4033,819.4566
1638.36,943.37915
1610.371,953.3729
1237.5166,1013.33545
1594.3772,494.6596
1320.4841,903.4041
1755.3143,876.421
1153.5494,787.47656
842.67084,999.3441
1625.3651,823.4541
1555.3925,837.4454
1868.2703,975.35913
1589.3792,486.6646
1363.4674,852.436
1647.3564,850.43726
1524.4045,760.49347
1686.3413,958.3698
1178.5397,804.46594
1805.2948,985.3529
1870.2694,1006.33984
1600.3749,831.4491
1046.5912,954.37225
742.7099,1069.3004
1379.4612,916.396
1469.426,821.4553
1624.3655,972.361
1830.285,991.3491
1690.3397,956.37103
1622.3662,885.4154
1433.4401,858.43225
1489.4182,844.441
1876.2671,1065.303
1781.3042,875.42163
1591.3784,655.559
1144.5529,964.366
1456.431,799.4691
1405.451,800.46844
1686.3413,906.4023
1812.2921,940.38104
1531.4019,582.6046
1427.4424,839.4441
1619.3674,705.52783
1599.3752,747.5016
982.61615,987.3517
1824.2874,1020.33105
1303.4908,823.4541
1477.4229,797.47034
1258.5084,821.4553
1691.3394,970.3623
1523.4049,727.51404
1170.5427,962.3673
1553.3932,818.4572
1609.3713,342.75455
1231.5189,884.416
1502.4131,819.4566
951.6283,1020.33105
1475.4237,832.4485
1713.3307,973.3604
1547.3955,637.57025
1587.3799,505.6527
1504.4124,831.4491
1466.4271,632.5734
1399.4534,818.4572
1527.4033,908.401
1650.3553,560.61835
1453.4323,896.4085
1425.4432,889.4129
1561.3901,822.4547
1075.5798,1022.32983
1512.4092,874.42224
1393.4557,913.3979
1578.3834,882.41724
1489.4182,886.41473
1673.3463,974.35974
918.6412,996.34607
1379.4612,1033.3229
1361.4681,830.4497
1552.3936,820.456
1483.4205,813.4603
1897.2589,1084.2911
1406.4506,673.5478
1740.3202,1070.2998
1428.442,814.4597
1527.4033,812.461
937.6337,1005.34045
1493.4166,802.4672
801.6868,1036.321
1468.4264,812.461
1405.451,908.401
1551.394,930.38727
1496.4155,937.3829
1532.4014,760.49347
1726.3257,931.38666
1656.353,928.38855
1147.5518,784.47845
1324.4827,742.5047
1245.5134,771.4866
1288.4967,703.52905
1238.5162,688.53845
1242.5146,658.5572
1201.5306,722.5172
1277.501,708.52594
1252.5107,755.4966
1376.4623,607.589
1192.5342,953.3729
1165.5447,879.4191
1104.5685,873.42285
1252.5107,874.42224
1393.4557,933.3854
1640.3593,809.4628
1606.3726,979.3567
1492.417,833.4479
1477.4229,803.4666
1461.4291,854.43475
1687.341,941.3804
1540.3983,754.4972
1311.4877,934.38477
1112.5654,980.3561
1548.3951,933.3854
1662.3507,906.4023
1377.4619,858.43225
1723.3268,1011.3367
1701.3354,819.4566
1259.508,710.52466
1517.4072,911.3991
1499.4143,901.4054
1191.5345,953.3729
1040.5935,950.37476
1385.4589,971.36163
1401.4525,885.4154
1544.3967,819.4566
1490.4178,827.4516
1532.4014,825.4529
1535.4003,819.4566
1400.453,866.42725
1345.4745,864.42847
1606.3726,762.4922
806.6849,1057.308
1287.4971,842.44226
1371.4642,877.42035
1525.4042,487.66394
1537.3994,815.4591
1107.5674,1005.34045
1509.4104,764.49097
1454.4319,785.47784
1579.383,787.47656
1641.3589,855.43414
1614.3694,850.43726
1593.3776,923.39166
1859.2737,1058.3074
1753.3151,803.4666
738.7114,1073.298
1376.4623,816.4585
1487.419,883.4166
1582.3818,898.4073
1522.4053,867.42664
1631.3628,450.68707
1606.3726,437.6952
1456.431,774.4847
1355.4706,911.3991
1314.4866,765.49036
1729.3245,972.361
1502.4131,839.4441
1558.3912,806.4647
1458.4303,784.47845
1494.4163,917.3954
1514.4084,904.4035
1576.3843,814.4597
1654.3538,832.4485
1623.3658,853.43536
1483.4205,856.4335
