X,Y
1385.4589,818.4572
1722.3273,970.3623
1495.4159,831.4491
1249.512,923.39166
1605.3729,889.4129
1296.4935,876.421
1617.3682,860.43097
1234.5178,849.43787
1606.3726,639.56903
1558.3912,607.589
1237.5166,875.42163
1510.41,787.47656
1310.488,878.41974
937.6337,1027.3267
1378.4615,915.39667
1235.5173,916.396
1613.3698,828.451
1611.3706,751.4991
1614.3694,571.6115
1690.3397,835.4466
1202.5303,872.4235
1232.5186,934.38477
1572.3857,834.4472
1699.3362,276.79575
1187.5361,894.4097
1240.5154,1002.3423
1398.4537,833.4479
1355.4706,828.451
1658.3522,808.4635
1300.492,910.3998
1637.3604,713.5228
1311.4877,996.34607
1823.2878,1021.33044
1613.3698,767.4891
1625.3651,773.48535
1395.455,886.41473
1927.2472,1110.2749
1840.2811,1035.3217
1470.4257,766.4897
1625.3651,772.48596
1823.2878,1018.3323
1765.3104,1012.33606
1577.3838,910.3998
1314.4866,826.4522
1291.4955,864.42847
1596.3765,858.43225
1513.4088,1313.1481
839.672,1045.3154
1182.5381,947.37665
1611.3706,766.4897
1441.4369,756.496
1601.3745,874.42224
1574.385,721.5178
1551.394,947.37665
1602.374,1283.1667
1621.3667,1033.3229
1792.2999,970.3623
1529.4026,683.54156
1904.2561,1081.293
1888.2625,1086.2898
1872.2687,1067.3018
1715.33,192.84822
1373.4635,879.4191
1625.3651,724.5159
1235.5173,931.38666
952.62787,1009.3379
1566.3882,537.63275
1334.4788,886.41473
1605.3729,866.42725
1246.5131,801.46783
1640.3593,901.4054
1296.4935,947.37665
765.7009,1063.3042
1489.4182,807.4641
1715.33,997.34546
1358.4694,867.42664
1799.2971,940.38104
1575.3846,768.48846
1366.4662,586.6021
1660.3514,269.80014
1370.4647,912.3985
1598.3756,132.8857
1599.3752,1242.1924
1178.5397,909.4004
1854.2756,1097.283
1636.3608,648.5634
1223.5221,883.4166
1617.3682,921.3929
1717.3292,138.88196
1240.5154,919.39417
1598.3756,896.4085
1841.2808,1022.32983
1369.4651,813.4603
1078.5787,926.3898
1229.5198,874.42224
1582.3818,1007.33923
1376.4623,880.4185
1457.4307,1093.2854
1278.5006,852.436
1676.3452,314.77203
1852.2765,980.3561
1250.5115,898.4073
1318.485,874.42224
1548.3951,576.6084
1531.4019,691.53656
1010.6052,994.3473
1757.3136,947.37665
1621.3667,778.48224
1377.4619,1039.3192
1829.2854,1019.33167
1045.5916,985.3529
1517.4072,836.446
1066.5834,920.3935
1633.3619,761.4928
1681.3433,735.5091
1538.399,819.4566
1669.3479,936.38354
1032.5967,975.35913
1643.358,925.3904
1779.3049,978.3573
1841.2808,1044.316
1619.3674,961.3679
1344.4749,804.46594
1781.3042,955.37164
1582.3818,763.4916
1167.544,943.37915
1694.3381,767.4891
1278.5006,913.3979
1264.5061,870.42474
1027.5986,966.3648
1333.4791,941.3804
1269.5042,859.43164
1426.4427,833.4479
1111.5658,1001.3429
1606.3726,832.4485
1824.2874,1026.3273
1357.4697,806.4647
1330.4802,703.52905
1382.46,863.42914
1652.3545,882.41724
681.7337,1099.2817
1583.3815,937.3829
1677.3448,1152.2487
1684.342,1172.2361
1628.3639,735.5091
1232.5186,824.4535
1256.5092,1036.321
1386.4584,857.43286
1599.3752,686.5397
1641.3589,923.39166
1823.2878,1065.303
1592.3779,868.426
1577.3838,728.5134
1623.3658,1287.1643
1328.4811,920.3935
1271.5033,884.416
1370.4647,880.4185
1180.5388,976.3585
1273.5026,908.401
1635.3612,989.35046
1610.371,740.5059
1310.488,827.4516
1524.4045,906.4023
1572.3857,864.42847
1122.5615,949.3754
1235.5173,1064.3036
1676.3452,886.41473
1422.4443,543.62897
1798.2975,1043.3167
1787.3019,961.3679
1840.2811,1020.33105
1673.3463,799.4691
1300.492,866.42725
1330.4802,945.3779
1601.3745,885.4154
1259.508,840.4435
1574.385,863.42914
1650.3553,955.37164
1321.4838,864.42847
1189.5354,905.4029
1586.3804,785.47784
1243.5143,897.4079
1641.3589,822.4547
1564.3889,863.42914
1613.3698,866.42725
1238.5162,927.38916
1504.4124,140.8807
1631.3628,993.3479
