X,Y
1277.501,749.5003
1988.2234,979.3567
1230.5193,926.3898
547.786,635.57153
1280.4998,750.4997
870.6599,446.68958
2018.2117,808.4635
1931.2456,940.38104
1458.4303,715.52155
1106.5677,1276.1711
1972.2296,626.57715
1943.241,424.7033
1470.4257,816.4585
1966.2319,429.7002
685.7321,1151.2493
2023.2097,615.58405
1300.492,672.5484
1364.467,812.461
1336.4779,747.5016
1349.4729,867.42664
1382.46,728.5134
1625.3651,1034.3223
1352.4717,839.4441
2043.2019,849.43787
1931.2456,989.35046
2000.2186,702.52966
1967.2316,1061.3054
2145.162,1158.2449
1989.223,845.44037
1362.4678,764.49097
1389.4573,841.4429
1314.4866,971.36163
1137.5557,1035.3217
1332.4795,769.48785
1124.5607,537.63275
1936.2437,440.69333
1962.2335,1033.3229
585.7712,420.7058
1300.492,695.53406
1311.4877,742.5047
703.7251,730.5122
1230.5193,706.52716
611.76105,791.47406
1642.3584,1307.1519
1888.2625,766.4897
1893.2605,337.75766
1657.3527,1298.1575
1999.2191,703.52905
970.62085,1157.2455
1280.4998,723.51654
1039.5939,389.7252
1597.376,1124.2661
1255.5095,764.49097
1415.4471,873.42285
414.83795,1069.3004
1292.4951,722.5172
1452.4326,225.8276
1281.4994,683.54156
1987.2238,442.69208
463.81882,351.7489
1654.3538,1304.1537
1299.4924,681.5428
1300.492,727.51404
2003.2175,708.52594
1386.4584,538.63214
500.80438,486.6646
1333.4791,1214.2098
1459.4299,426.70206
1614.3694,767.4891
1550.3944,366.73953
543.7876,371.73642
1969.2308,579.6065
1199.5315,1102.2798
2012.214,407.71393
2057.1965,1033.3229
1255.5095,697.5328
2034.2054,886.41473
1296.4935,821.4553
1972.2296,363.74142
2006.2163,696.53345
493.8071,998.34485
1949.2385,704.52844
1351.472,856.4335
559.7813,940.38104
759.70325,347.7514
1434.4397,681.5428
573.7759,866.42725
1479.4221,899.4066
1724.3264,128.8882
1996.2202,1058.3074
1940.2421,717.5203
1988.2234,429.7002
1267.5049,740.5059
435.82974,279.79388
622.7567,1062.3048
908.6451,327.76392
1263.5065,712.52344
1704.3342,434.69708
1302.4912,686.5397
1708.3326,371.73642
2003.2175,923.39166
2050.1992,534.6346
568.77783,725.5153
1469.426,740.5059
1043.5924,585.6028
884.6544,796.47095
1278.5006,778.48224
1660.3514,971.36163
1204.5295,400.7183
1167.544,367.73892
868.6607,717.5203
627.75476,445.6902
764.7013,479.66895
1354.471,725.5153
1301.4916,728.5134
1991.2222,1020.33105
568.77783,1046.3148
596.7669,1002.3423
573.7759,724.5159
485.81024,1091.2867
520.7966,1073.298
2004.2172,604.5909
521.7962,402.71707
1941.2417,492.66083
1274.5022,868.426
1200.531,252.81076
2049.1995,820.456
1963.2332,900.406
1457.4307,788.47595
1967.2316,515.6465
1961.2339,985.3529
1999.2191,831.4491
1929.2463,783.47906
2096.1812,921.3929
1972.2296,848.4385
1320.4841,1173.2355
1570.3866,725.5153
1357.4697,747.5016
1497.415,879.4191
1444.4358,1051.3116
1550.3944,521.6427
1419.4456,1168.2386
992.61224,699.53156
1186.5365,1083.2917
